ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208,Fe 238.204,Fe 259.941,Fe,Al 167.078,MPI
BL-N 2-3,North,-5.044444444,119.3277778,E,Sediment,1.444,3.671,0.283,6.355,0.81,0.945,0.082,0.759,430,435,647.5,NA,1.88050276964398
BL-N 2-1 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.112,2.032,0.137,1.326,2.512,58.893,0.314,0.332,140,141,210.5,75.97,2.51677915836937
BL-N 2-2 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.146,0.439,0.134,0.972,2.249,34.269,0.126,0.164,86,88,130,31.54,1.4915914184382
BL-N 2-3 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.12,0.659,0.203,1.194,2.788,25.669,0.102,0.346,96,100,146,40.89,1.76234730270075
BL-N 2-4 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.123,0.461,0.1,0.944,2.478,32.724,0.321,0.17,98,99,147.5,30.56,1.59530785694819
BL-N 2-5 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.149,0.401,0.146,0.849,2.168,34.756,0.154,0.165,91,96,139,37.14,1.53622264213851
BL-N 2-6 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.102,0.535,0.191,1.398,3.409,29.843,0.169,0.262,89,91,134.5,35.6,1.77718412461818
BL-N 2-1 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.08,0.653,0.323,3.325,2.912,61.581,0.292,0.344,118,124,180,48.14,2.47876601586919
BL-N 2-2 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.096,0.772,0.395,3.615,3.437,38.114,0.502,0.413,130,134,197,64.97,2.86133749181165
BL-N 2-3 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.134,2.026,0.369,3.409,15.721,41.683,0.189,2.097,338,339,507.5,176.26,4.89720945133557
BL-N 2-4 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.106,0.563,0.284,2.881,4.074,30.671,0.465,0.254,160,165,242.5,91.28,2.6319636460306
BL-N 2-5 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.093,0.533,2583.093,2.485,2.141,30.902,1925.158,2536.537,109,112,165,33.12,29.8508134312535
BL-N 2-6 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.108,0.742,0.314,3.117,2.173,25.703,1.521,0.29,125,124,187,51.37,2.67215473994282
BL-N 3-1,North,-5.04375,119.3269444,F,Sediment,1.994,3.674,0.261,6.807,0.602,1.644,0.092,1.07,576.5,572,862.5,NA,2.17597748543195
BL-N 3-2,North,-5.04375,119.3269444,F,Sediment,2.473,4.617,0.343,9.368,0.356,1.489,0.086,0.662,514,515.5,771.75,NA,2.11711647592176
