ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208,Fe 238.204,Fe 259.941,Fe,Al 167.078,MPI
BL-S 3-4 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.096,0.486,0.19,2.445,1.726,23.48,0.146,0.248,86,90,131,27.12,1.60436964635076
BL-S 3-5 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.092,0.436,0.25,2.711,1.672,21.123,0.168,0.272,109,108,163,43,1.77331952587308
BL-S 3-6 TH,South,-5.054305556,119.3279167,F1,Thalassia hemprichii,0.093,0.288,0.214,2.357,2.048,21.92,0.168,0.188,84,87,127.5,17,1.4515251101038
BL-S 3-1,South,-5.054166667,119.3280556,F2,Sediment,1.922,4.549,0.331,9.694,0.119,1.05,0.127,0.453,370,369,554.5,NA,1.68894521565685
BL-S 3-2,South,-5.054166667,119.3280556,F2,Sediment,1.944,4.038,0.309,9.066,0.119,1.42,0.095,0.502,366,378,555,NA,1.66502736510825
BL-W A-1,West,-5.047291667,119.3275,A,Sediment,1.904,7.112,0.998,11.373,14.292,173.989,0.127,14.571,6067,6047,9090.5,NA,12.2968973273836
BL-W A-2,West,-5.047291667,119.3275,A,Sediment,1.994,15.795,2.603,18.139,60.274,112.285,0.177,13.853,18672,18962,28153,NA,20.6899016234027
BL-W B-1,West,-5.047222222,119.3273611,B,Sediment,2.451,8.543,0.474,9.673,14.651,34.165,0.14,6.6,1296,1285,1938.5,NA,7.61470883675726
BL-W B-3,West,-5.047222222,119.3273611,B,Sediment,2.589,7.899,0.548,10.133,24.633,73.858,0.161,9.899,2118,2136,3186,NA,10.0533586551933
BL-W 1-3,West,-5.047083333,119.3269444,D,Sediment,2.165,6.016,0.336,9.404,1.155,2.517,0.086,0.959,481,472,717,NA,2.67760530624245
BL-W 2-2,West,-5.046805556,119.3259722,E,Sediment,2.23,5.963,0.326,9.502,0.061,1.173,0.078,0.515,380,391,575.5,NA,1.59848508917558
BL-W 3-1,West,-5.04625,119.3244444,F,Sediment,2.43,6.099,0.323,9.415,0.134,1.487,0.095,0.611,465.5,475,703,NA,1.92704349827475
BL-W 3-2,West,-5.04625,119.3244444,F,Sediment,1.872,5.004,0.282,7.031,0.746,1.032,0.116,0.737,523.5,532,789.5,NA,2.14595499533834
BL-W 3-3,West,-5.04625,119.3244444,F,Sediment,1.947,5.118,0.303,7.373,0.817,1.219,0.108,0.74,531.5,539.5,801.3,NA,2.23998292798717
