ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208
BL-N 2-4 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.106,0.563,0.284,2.881,4.074,30.671,0.465,0.254
BL-N 2-5 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.093,0.533,2583.093,2.485,2.141,30.902,1925.158,2536.537
BL-N 2-6 TH,North,-5.044444444,119.3277778,E,Thalassia hemprichii,0.108,0.742,0.314,3.117,2.173,25.703,1.521,0.29
BL-N 3-1,North,-5.04375,119.3269444,F,Sediment,1.994,3.674,0.261,6.807,0.602,1.644,0.092,1.07
BL-N 3-2,North,-5.04375,119.3269444,F,Sediment,2.473,4.617,0.343,9.368,0.356,1.489,0.086,0.662
BL-N 3-3,North,-5.04375,119.3269444,F,Sediment,3.126,4.959,0.377,9.332,0.517,1.592,0.08,0.898
BL-N 3-1 EA,North,-5.04375,119.3269444,F,Enhalus acoroides,0.076,0.403,0.206,1.31,1.908,47.392,0.439,0.172
BL-N 3-2 EA,North,-5.04375,119.3269444,F,Enhalus acoroides,1478.313,0.624,0.264,1.399,2.768,28.303,0.403,1266.822
BL-N 3-3 EA,North,-5.04375,119.3269444,F,Enhalus acoroides,0.141,0.583,0.208,1.236,2.609,33.604,0.203,0.197
BL-N 3-4 EA,North,-5.04375,119.3269444,F,Enhalus acoroides,0.08,0.437,0.161,1.105,2.324,48.152,0.339,0.193
BL-N 3-5 EA,North,-5.04375,119.3269444,F,Enhalus acoroides,0.118,0.517,0.182,1.025,2.202,38.736,0.761,0.174
BL-N 3-6 EA,North,-5.04375,119.3269444,F,Enhalus acoroides,0.081,0.605,0.16,1.032,2.726,36.018,0.201,0.298
BL-N 3-1 TH,North,-5.04375,119.3269444,F,Thalassia hemprichii,0.072,0.702,0.197,2.449,2.853,62.151,1.179,0.304
BL-N 3-2 TH,North,-5.04375,119.3269444,F,Thalassia hemprichii,0.137,0.939,0.181,2.229,5.266,24.494,0.785,0.63
BL-N 3-3 TH,North,-5.04375,119.3269444,F,Thalassia hemprichii,0.106,1.525,2428.706,2.617,8.424,63.564,1.387,0.612
BL-N 3-4 TH,North,-5.04375,119.3269444,F,Thalassia hemprichii,0.087,1.086,0.19,2.12,3.512,35.379,0.335,0.162
BL-N 3-5 TH,North,-5.04375,119.3269444,F,Thalassia hemprichii,0.093,0.518,0.267,2.355,2.966,23.511,0.334,1737.968
BL-N 3-6 TH,North,-5.04375,119.3269444,F,Thalassia hemprichii,0.069,0.71,0.295,3.379,3.708,72.294,0.538,2256.414
BL-E A-1,East,-5.047847222,119.3309028,A,Sediment,2.201,7.698,1.276,10.333,10.495,64.552,0.151,15.961
BL-E A-2,East,-5.047847222,119.3309028,A,Sediment,1.933,7.368,1.009,9.252,10.417,110.562,0.125,13.207
